date,description,account,debit,credit
2026-01-02,Owner investment,Owner Capital,0,5000
2026-01-03,Deposit to business bank,Cash,5000,0
2026-01-05,Purchase office equipment,Equipment,1200,0
2026-01-05,Equipment purchase payable,Accounts Payable,0,1200
2026-01-08,Service invoice collected,Service Revenue,0,1800
2026-01-08,Cash received from customer,Cash,1800,0
2026-01-12,Monthly rent payment,Rent Expense,700,0
2026-01-12,Cash paid for rent,Cash,0,700
2026-01-15,Utilities bill,Utilities Expense,150,0
2026-01-15,Cash paid for utilities,Cash,0,150
